districtid,wave1_weekid,wave2_weekid,wave1_monthid,wave2_monthid
AP_Anantapur,28,110,2,12
AP_Chittoor,37,110,3,12
AP_East Godavari,39,110,3,12
AP_Foreign Evacuees,6,99,0,11
AP_Guntur,27,105,2,11
AP_Krishna,39,111,3,12
AP_Kurnool,29,106,2,11
AP_Other State,12,99,1,11
AP_Prakasam,38,106,3,12
AP_S.P.S. Nellore,37,108,3,11
AP_Srikakulam,36,106,3,11
AP_Visakhapatnam,28,108,2,11
AP_Vizianagaram,32,104,3,11
AP_West Godavari,39,111,3,12
AP_Y.S.R. Kadapa,37,109,3,12
AR_Anjaw,35,104,3,11
AR_Capital Complex,-1,99,0,11
AR_Changlang,38,103,3,11
AR_East Kameng,19,105,1,11
AR_East Siang,39,114,3,12
AR_Kamle,34,115,3,13
AR_Kra Daadi,33,106,3,11
AR_Kurung Kumey,33,112,3,12
AR_Lepa Rada,36,118,3,13
AR_Lohit,30,115,2,13
AR_Longding,31,114,3,12
AR_Lower Dibang Valley,28,101,3,11
AR_Lower Siang,33,122,3,13
AR_Lower Subansiri,29,122,3,13
AR_Namsai,17,102,1,11
AR_Pakke Kessang,31,112,3,12
AR_Papum Pare,34,121,3,13
AR_Shi Yomi,26,114,2,13
AR_Siang,24,117,2,13
AR_Tawang,25,102,2,11
AR_Tirap,36,115,3,13
AR_Upper Dibang Valley,36,102,3,11
AR_Upper Siang,39,101,3,11
AR_Upper Subansiri,22,112,3,12
AR_West Kameng,21,115,2,12
AR_West Siang,36,118,3,13
AS_Dibrugarh,-1,99,0,11
AS_Udalguri,-1,99,0,11
BR_Araria,36,105,3,11
BR_Arwal,30,105,2,11
BR_Aurangabad,32,104,3,11
BR_Banka,29,106,2,11
BR_Begusarai,30,105,2,11
BR_Bhagalpur,30,104,2,11
BR_Bhojpur,26,103,2,11
BR_Buxar,30,104,2,11
BR_Darbhanga,30,105,2,11
BR_East Champaran,30,108,2,11
BR_Gaya,31,104,2,11
BR_Gopalganj,30,106,3,11
BR_Jamui,21,101,2,11
BR_Jehanabad,31,104,2,11
BR_Kaimur,30,104,2,11
BR_Katihar,27,106,2,11
BR_Khagaria,24,102,2,11
BR_Kishanganj,27,103,3,11
BR_Lakhisarai,30,103,3,11
BR_Madhepura,31,106,3,11
BR_Madhubani,31,105,3,11
BR_Munger,30,107,2,11
BR_Muzaffarpur,28,102,3,11
BR_Nalanda,27,106,2,11
BR_Nawada,27,105,2,11
BR_Other State,-1,109,2,13
BR_Patna,30,106,2,11
BR_Purnia,31,104,3,11
BR_Rohtas,30,104,2,11
BR_Saharsa,27,102,3,11
BR_Samastipur,27,105,2,11
BR_Saran,30,104,2,11
BR_Sheikhpura,29,105,2,11
BR_Sheohar,28,105,2,11
BR_Sitamarhi,31,105,2,11
BR_Siwan,30,107,2,11
BR_Supaul,37,101,3,11
BR_Vaishali,29,107,2,11
BR_West Champaran,29,105,2,11
CH_Chandigarh,39,107,3,11
CT_Balod,36,99,3,11
CT_Baloda Bazar,34,99,3,11
CT_Balrampur,39,101,3,11
CT_Bametara,33,99,3,11
CT_Bastar,36,101,3,11
CT_Bijapur,39,108,3,11
CT_Bilaspur,39,104,3,11
CT_Dakshin Bastar Dantewada,37,100,3,11
CT_Dhamtari,36,99,3,11
CT_Durg,38,99,3,11
CT_Gariaband,34,99,3,11
CT_Gaurela Pendra Marwahi,33,100,3,11
CT_Janjgir Champa,39,100,3,11
CT_Jashpur,37,100,3,11
CT_Kabeerdham,38,103,3,11
CT_Kondagaon,39,99,3,11
CT_Korba,39,106,3,11
CT_Koriya,39,101,3,11
CT_Mahasamund,34,99,3,11
CT_Mungeli,37,100,3,11
CT_Narayanpur,34,102,3,11
CT_Other State,25,118,2,11
CT_Raigarh,37,100,3,11
CT_Raipur,38,101,3,11
CT_Rajnandgaon,39,100,3,11
CT_Sukma,37,108,3,11
CT_Surajpur,39,107,3,11
CT_Surguja,37,99,3,11
CT_Uttar Bastar Kanker,39,99,3,11
DN_Dadra and Nagar Haveli,30,100,2,11
DN_Daman,17,99,1,11
DN_Diu,14,100,2,11
DL_Delhi,39,103,1,11
