districtid,monthid,cases
Anantapur,1,118
Anantapur,2,345
Anantapur,3,3188
Anantapur,4,24445
Anantapur,5,21693
Anantapur,6,11821
Anantapur,7,4493
Anantapur,8,911
Anantapur,9,535
Anantapur,10,146
Anantapur,11,162
Anantapur,12,2224
Anantapur,13,37805
Anantapur,14,41980
Anantapur,15,5409
Anantapur,16,1496
Chittoor,1,151
Chittoor,2,202
Chittoor,3,2721
Chittoor,4,18445
Chittoor,5,28627
Chittoor,6,21579
Chittoor,7,10250
Chittoor,8,2914
Chittoor,9,1810
Chittoor,10,510
Chittoor,11,861
Chittoor,12,8103
Chittoor,13,54995
Chittoor,14,57810
Chittoor,15,16513
Chittoor,16,9380
East Godavari,1,51
East Godavari,2,301
East Godavari,3,2763
East Godavari,4,35177
East Godavari,5,39928
East Godavari,6,29668
East Godavari,7,12414
East Godavari,8,2714
East Godavari,9,1011
East Godavari,10,333
East Godavari,11,286
East Godavari,12,2460
East Godavari,13,49697
East Godavari,14,71663
East Godavari,15,22683
East Godavari,16,11240
Foreign Evacuees,1,204
Foreign Evacuees,2,228
Foreign Evacuees,3,2
Foreign Evacuees,4,0
Foreign Evacuees,5,0
Foreign Evacuees,6,0
Foreign Evacuees,7,0
Foreign Evacuees,8,0
Foreign Evacuees,9,0
Foreign Evacuees,10,0
Foreign Evacuees,11,0
Foreign Evacuees,12,0
Foreign Evacuees,13,0
Foreign Evacuees,14,0
Foreign Evacuees,15,0
Guntur,1,404
Guntur,2,219
Guntur,3,2733
Guntur,4,21584
Guntur,5,21064
Guntur,6,14953
Guntur,7,9833
Guntur,8,3178
Guntur,9,1275
Guntur,10,372
Guntur,11,296
Guntur,12,7606
Guntur,13,46209
Guntur,14,27837
Guntur,15,7853
Guntur,16,5077
Krishna,1,351
Krishna,2,350
Krishna,3,2043
Krishna,4,9039
Krishna,5,9692
Krishna,6,11435
Krishna,7,10134
Krishna,8,3677
Krishna,9,1564
Krishna,10,535
Krishna,11,332
Krishna,12,4379
Krishna,13,20979
Krishna,14,21343
Krishna,15,8908
Krishna,16,6838
Kurnool,1,591
Kurnool,2,385
Kurnool,3,2847
Kurnool,4,28189
Kurnool,5,19954
Kurnool,6,6467
Kurnool,7,1482
Kurnool,8,501
Kurnool,9,298
Kurnool,10,133
Kurnool,11,114
Kurnool,12,2752
Kurnool,13,34742
Kurnool,14,21248
Kurnool,15,3006
Kurnool,16,863
Prakasam,1,63
Prakasam,2,38
Prakasam,3,1137
Prakasam,4,9525
Prakasam,5,26123
Prakasam,6,18360
Prakasam,7,5668
Prakasam,8,890
Prakasam,9,303
Prakasam,10,86
Prakasam,11,59
Prakasam,12,2104
Prakasam,13,24327
Prakasam,14,26602
Prakasam,15,10155
Prakasam,16,6347
S.P.S. Nellore,1,126
S.P.S. Nellore,2,270
S.P.S. Nellore,3,1023
S.P.S. Nellore,4,14750
S.P.S. Nellore,5,27961
S.P.S. Nellore,6,13161
S.P.S. Nellore,7,3563
S.P.S. Nellore,8,955
S.P.S. Nellore,9,438
S.P.S. Nellore,10,151
S.P.S. Nellore,11,138
S.P.S. Nellore,12,3266
S.P.S. Nellore,13,35211
S.P.S. Nellore,14,22499
S.P.S. Nellore,15,6880
S.P.S. Nellore,16,6965
Srikakulam,1,7
Srikakulam,2,48
Srikakulam,3,1359
Srikakulam,4,11906
Srikakulam,5,19427
Srikakulam,6,9339
Srikakulam,7,2909
Srikakulam,8,728
Srikakulam,9,319
Srikakulam,10,120
Srikakulam,11,138
Srikakulam,12,2812
Srikakulam,13,41803
Srikakulam,14,23782
Srikakulam,15,4961
Srikakulam,16,1732
Visakhapatnam,1,66
Visakhapatnam,2,150
Visakhapatnam,3,1273
Visakhapatnam,4,21913
Visakhapatnam,5,20936
Visakhapatnam,6,8644
Visakhapatnam,7,4256
Visakhapatnam,8,1417
Visakhapatnam,9,830
Visakhapatnam,10,439
Visakhapatnam,11,326
Visakhapatnam,12,5743
Visakhapatnam,13,42317
