districtid,weekid,cases
Anantapur,1,71
Anantapur,2,31
Anantapur,3,20
Anantapur,4,14
Anantapur,5,73
Anantapur,6,65
Anantapur,7,144
Anantapur,8,371
Anantapur,9,531
Anantapur,10,779
Anantapur,11,1062
Anantapur,12,1343
Anantapur,13,4485
Anantapur,14,6838
Anantapur,15,7422
Anantapur,16,5698
Anantapur,17,5380
Anantapur,18,5133
Anantapur,19,5087
Anantapur,20,4238
Anantapur,21,3513
Anantapur,22,3431
Anantapur,23,2594
Anantapur,24,2313
Anantapur,25,1632
Anantapur,26,1322
Anantapur,27,1016
Anantapur,28,863
Anantapur,29,634
Anantapur,30,325
Anantapur,31,226
Anantapur,32,171
Anantapur,33,164
Anantapur,34,132
Anantapur,35,127
Anantapur,36,126
Anantapur,37,116
Anantapur,38,63
Anantapur,39,51
Anantapur,40,37
Anantapur,41,32
Anantapur,42,16
Anantapur,43,29
Anantapur,44,35
Anantapur,45,48
Anantapur,46,47
Anantapur,47,98
Anantapur,48,268
Anantapur,49,331
Anantapur,50,786
Anantapur,51,1817
Anantapur,52,4641
Anantapur,53,8625
Anantapur,54,12324
Anantapur,55,14123
Anantapur,56,15987
Anantapur,57,9691
Anantapur,58,7126
Anantapur,59,5562
Anantapur,60,2420
Anantapur,61,1701
Anantapur,62,980
Anantapur,63,654
Anantapur,64,498
Anantapur,65,457
Anantapur,66,335
Anantapur,67,264
Anantapur,68,235
Chittoor,1,80
Chittoor,2,16
Chittoor,3,77
Chittoor,4,35
Chittoor,5,45
Chittoor,6,45
Chittoor,7,52
Chittoor,8,165
Chittoor,9,294
Chittoor,10,441
Chittoor,11,1259
Chittoor,12,1698
Chittoor,13,2662
Chittoor,14,4458
Chittoor,15,4922
Chittoor,16,6229
Chittoor,17,6418
Chittoor,18,5869
Chittoor,19,6869
Chittoor,20,6807
Chittoor,21,5618
Chittoor,22,5184
Chittoor,23,5255
Chittoor,24,5111
Chittoor,25,3588
Chittoor,26,2897
Chittoor,27,2248
Chittoor,28,2095
Chittoor,29,1538
Chittoor,30,989
Chittoor,31,615
Chittoor,32,582
Chittoor,33,581
Chittoor,34,639
Chittoor,35,450
Chittoor,36,417
Chittoor,37,305
Chittoor,38,180
Chittoor,39,195
Chittoor,40,90
Chittoor,41,93
Chittoor,42,89
Chittoor,43,95
Chittoor,44,146
Chittoor,45,203
Chittoor,46,336
Chittoor,47,369
Chittoor,48,793
Chittoor,49,1359
Chittoor,50,2940
Chittoor,51,5642
Chittoor,52,9261
Chittoor,53,13808
Chittoor,54,15616
Chittoor,55,16284
Chittoor,56,18635
Chittoor,57,15148
Chittoor,58,11301
Chittoor,59,8014
Chittoor,60,6148
Chittoor,61,4517
Chittoor,62,3677
Chittoor,63,2740
Chittoor,64,2354
Chittoor,65,2248
Chittoor,66,2164
Chittoor,67,2305
Chittoor,68,1568
East Godavari,1,45
East Godavari,2,1
East Godavari,3,6
East Godavari,4,7
East Godavari,5,131
East Godavari,6,82
East Godavari,7,48
East Godavari,8,165
East Godavari,9,460
East Godavari,10,544
East Godavari,11,885
East Godavari,12,3125
East Godavari,13,6892
East Godavari,14,8880
East Godavari,15,8889
East Godavari,16,9258
East Godavari,17,8571
East Godavari,18,8941
East Godavari,19,8774
East Godavari,20,9690
East Godavari,21,9853
East Godavari,22,7937
East Godavari,23,6775
East Godavari,24,5383
East Godavari,25,4269
East Godavari,26,3495
East Godavari,27,2638
East Godavari,28,2657
East Godavari,29,1901
East Godavari,30,1188
East Godavari,31,716
East Godavari,32,406
East Godavari,33,335
East Godavari,34,320
East Godavari,35,289
East Godavari,36,199
East Godavari,37,168
East Godavari,38,132
East Godavari,39,107
East Godavari,40,89
East Godavari,41,63
East Godavari,42,42
East Godavari,43,38
East Godavari,44,53
East Godavari,45,60
East Godavari,46,107
East Godavari,47,189
East Godavari,48,425
East Godavari,49,189
East Godavari,50,359
East Godavari,51,3436
East Godavari,52,5104
East Godavari,53,10145
East Godavari,54,15888
East Godavari,55,19837
East Godavari,56,22783
East Godavari,57,18146
East Godavari,58,15918
East Godavari,59,9615
East Godavari,60,7605
East Godavari,61,6037
East Godavari,62,4698
East Godavari,63,4460
East Godavari,64,3117
East Godavari,65,2738
East Godavari,66,2075
East Godavari,67,2690
East Godavari,68,2321
Foreign Evacuees,1,111
Foreign Evacuees,2,20
Foreign Evacuees,3,71
Foreign Evacuees,4,124
Foreign Evacuees,5,51
Foreign Evacuees,6,38
Foreign Evacuees,7,13
Foreign Evacuees,8,6
Foreign Evacuees,9,0
Foreign Evacuees,10,0
Foreign Evacuees,11,0
Foreign Evacuees,12,0
Foreign Evacuees,13,0
Foreign Evacuees,14,0
Foreign Evacuees,15,0
Foreign Evacuees,16,0
Foreign Evacuees,17,0
Foreign Evacuees,18,0
Foreign Evacuees,19,0
Foreign Evacuees,20,0
Foreign Evacuees,21,0
Foreign Evacuees,22,0
Foreign Evacuees,23,0
Foreign Evacuees,24,0
Foreign Evacuees,25,0
Foreign Evacuees,26,0
Foreign Evacuees,27,0
Foreign Evacuees,28,0
Foreign Evacuees,29,0
Foreign Evacuees,30,0
Foreign Evacuees,31,0
Foreign Evacuees,32,0
Foreign Evacuees,33,0
Foreign Evacuees,34,0
Foreign Evacuees,35,0
Foreign Evacuees,36,0
Foreign Evacuees,37,0
Foreign Evacuees,38,0
Foreign Evacuees,39,0
Foreign Evacuees,40,0
Foreign Evacuees,41,0
Foreign Evacuees,42,0
Foreign Evacuees,43,0
Foreign Evacuees,44,0
Foreign Evacuees,45,0
Foreign Evacuees,46,0
Foreign Evacuees,47,0
Foreign Evacuees,48,0
Foreign Evacuees,49,0
Foreign Evacuees,50,0
Foreign Evacuees,51,0
Foreign Evacuees,52,0
Foreign Evacuees,53,0
Foreign Evacuees,54,0
Foreign Evacuees,55,0
Foreign Evacuees,56,0
Foreign Evacuees,57,0
Foreign Evacuees,58,0
Foreign Evacuees,59,0
Foreign Evacuees,60,0
Foreign Evacuees,61,0
Foreign Evacuees,62,0
Foreign Evacuees,63,0
Foreign Evacuees,64,0
Guntur,1,308
Guntur,2,68
Guntur,3,37
Guntur,4,13
Guntur,5,52
Guntur,6,78
Guntur,7,56
Guntur,8,130
Guntur,9,361
Guntur,10,567
Guntur,11,1197
Guntur,12,1677
Guntur,13,4912
Guntur,14,6213
Guntur,15,5168
Guntur,16,4712
Guntur,17,4336
Guntur,18,4785
Guntur,19,4762
Guntur,20,5114
Guntur,21,4318
Guntur,22,3845
Guntur,23,3517
Guntur,24,3185
Guntur,25,2441
Guntur,26,2898
Guntur,27,2470
Guntur,28,2012
Guntur,29,1558
Guntur,30,1107
Guntur,31,849
Guntur,32,537
Guntur,33,592
Guntur,34,353
Guntur,35,304
Guntur,36,298
Guntur,37,253
Guntur,38,180
Guntur,39,120
